drug_name,num_prescriber,total_cost
EFFIENT,12035,133437407
ENOXAPARIN SODIUM,14900,132840051
XYREM,707,131940956
HUMALOG MIX 75-25 KWIKPEN,7915,131276379
ANDROGEL,8963,131154996
VIREAD,4773,130752618
OXYBUTYNIN CHLORIDE ER,68659,129968353
ORENCIA,1521,129870163
ALLOPURINOL,142607,129291500
BD ULTRA-FINE PEN NEEDLE,74020,126524021
DOXYCYCLINE HYCLATE,73359,125615484
NASONEX,22838,125038947
PATADAY,17749,124535272
OPANA ER,6115,123114455
TOLTERODINE TARTRATE ER,26983,120996202
GAMUNEX-C,630,119739508
PROCRIT,3913,119539670
LIALDA,6843,116572655
NUEDEXTA,6823,115669467
BUPROPION XL,75997,115511643
ABILIFY MAINTENA,2648,115140367
DIVALPROEX SODIUM,54454,114865475
XELJANZ,1466,113709996
CARVEDILOL,173266,112765373
PRISTIQ ER,16575,112524065
VENTOLIN HFA,69261,111888357
QVAR,22586,110512475
HUMULIN 70-30,15384,110212593
AGGRENOX,13867,109918278
HUMULIN R U-500,2477,107526736
NIACIN ER,23475,107149154
ENALAPRIL MALEATE,87369,106876145
VENLAFAXINE HCL ER,103883,106173725
LATANOPROST,53780,106111418
AZOPT,9783,105979130
VALSARTAN-HYDROCHLOROTHIAZIDE,75776,105644047
ESCITALOPRAM OXALATE,135211,105638909
DICLOFENAC SODIUM,50960,105231160
PROLASTIN C,684,103855972
SERTRALINE HCL,176564,103672399
TRAMADOL HCL,201676,101308846
NEXAVAR,559,101117624
VICTOZA 2-PAK,9576,100364039
NOVOLIN 70-30,18392,100073926
TIKOSYN,4015,99928905
NOVOLOG MIX 70-30,8961,99899175
HYDROCHLOROTHIAZIDE,206336,99619560
ALPRAZOLAM,161491,99232854
BREO ELLIPTA,10054,97456536
OLANZAPINE,52444,97288727
ADEMPAS,433,97172180
TIZANIDINE HCL,68275,96457058
TOVIAZ,14368,94443165
CLOZAPINE,16825,94326193
INTELENCE,2578,93122982
RAPAFLO,9270,92983914
ZIPRASIDONE HCL,22262,92973795
FINASTERIDE,86913,91615954
VALGANCICLOVIR HCL,1216,90360306
LEVETIRACETAM,66356,90194238
FLUOXETINE HCL,133257,89873780
ECONAZOLE NITRATE,10994,89841623
ZOLPIDEM TARTRATE,151477,89252016
BUDESONIDE EC,5265,89150995
ILEVRO,4203,89115350
MIRTAZAPINE,102113,88908725
ISOSORBIDE MONONITRATE ER,104552,88049560
PROLIA,3228,87620678
ATENOLOL,169553,86554515
HUMULIN N,14838,86326307
CHLORPROMAZINE HCL,7852,86076582
ADVAIR HFA,9049,85435932
NIFEDIPINE ER,65008,85185082
DIGOXIN,59519,84947870
SANTYL,9595,84465682
RANITIDINE HCL,132352,84281510
DUREZOL,5980,83595892
PREDNISONE,209988,83557423
DOXAZOSIN MESYLATE,70791,83549556
CINRYZE,96,83356737
CIMZIA,1183,82817174
PIOGLITAZONE HCL,56245,82228165
URSODIOL,10072,82204503
LIDOCAINE-PRILOCAINE,13223,82193593
TRAZODONE HCL,166201,81796264
CARBIDOPA-LEVODOPA,46139,81688629
COLCRYS,16030,81647185
BACLOFEN,78884,81252253
DIOVAN,17127,80934532
BRILINTA,9115,80058324
AMLODIPINE BESYLATE-BENAZEPRIL,57233,77953451
VIEKIRA PAK,134,76476353
LOSARTAN-HYDROCHLOROTHIAZIDE,111227,74901471
BRIMONIDINE TARTRATE,22356,74265985
LANSOPRAZOLE,53350,74159964
COLCHICINE,18111,73013983
DALIRESP,10202,72993240
LORAZEPAM,154605,72870430
PAROXETINE HCL,113327,72188271
AMITRIPTYLINE HCL,101722,71569320
JANUMET XR,7921,71227631
SAPHRIS,4446,71048007
MEMANTINE HCL,28304,70538077
OXYBUTYNIN CHLORIDE,69615,70521434
MODAFINIL,7608,70504102
REBIF REBIDOSE,655,70367178
HUMALOG MIX 75-25,6067,69891601
GLIMEPIRIDE,94706,69889013
EXEMESTANE,5532,69546043
HYDRALAZINE HCL,88759,69080750
POLYETHYLENE GLYCOL 3350,76127,69070270
SEROSTIM,193,68939942
VIGAMOX,5986,68508271
CITALOPRAM HBR,158640,68292703
SIMPONI,889,67759983
RISPERIDONE,69914,67461583
DILTIAZEM 24HR ER,44098,65854689
CALCIUM ACETATE,12294,65609638
CARBAMAZEPINE,32818,64599652
TUDORZA PRESSAIR,7980,64136253
CLONAZEPAM,143771,63867130
SPIRIVA RESPIMAT,6477,63178794
TIMOLOL MALEATE,29742,63128456
TARGRETIN,85,62800152
ASACOL HD,4426,61913619
ALENDRONATE SODIUM,132530,61912352
AZOR,9324,61620384
KEPPRA,2510,61502707
VOTRIENT,466,61397306
LAMICTAL,2419,60155919
LOTEMAX,6980,58873543
PATANOL,8895,58779746
SUTENT,409,58773360
LOVASTATIN,105575,58158443
SUSTIVA,2607,57442558
TRIAMCINOLONE ACETONIDE,88115,57005742
LIDODERM,5447,56984908
FOSRENOL,2100,56932928
AZITHROMYCIN,167300,56633510
ZEMAIRA,321,56545188
FLUOCINONIDE,16881,55958723
ORENITRAM ER,226,55324596
LISINOPRIL-HYDROCHLOROTHIAZIDE,129705,54910578
KALETRA,2285,54725955
FIRAZYR,47,54721886
GLUMETZA,979,54602968
METRONIDAZOLE,42857,54314912
DIGOX,44531,53554954
BYDUREON PEN,3907,53321154
CYCLOBENZAPRINE HCL,96806,53067400
PROPRANOLOL HCL ER,28661,52801402
EXJADE,428,52517270
BYETTA,4828,51689451
BUTRANS,5593,51358905
STELARA,241,51321682
MELOXICAM,138421,51139920
JUXTAPID,91,51032176
CLONIDINE,16110,50528348
METHYLPREDNISOLONE,74025,50165011
ESTRACE,8819,50084928
VAGIFEM,8619,49691693
PROLENSA,3585,49640288
CUBICIN,1004,49383387
TRIAMTERENE-HYDROCHLOROTHIAZID,98768,49073615
ELMIRON,2899,48564509
RIVASTIGMINE,11999,48269498
SPIRONOLACTONE,114776,48213647
NEUPRO,2953,47674034
CLOMIPRAMINE HCL,4444,47610104
FENOFIBRIC ACID,16768,47306091
RAMIPRIL,64730,47035005
FANAPT,2048,47025189
FLUOROURACIL,7507,47022151
ROPINIROLE HCL,71532,47011518
PENTASA,3202,46945337
ONFI,1563,46918646
KLOR-CON M20,61082,46913757
DILTIAZEM 24HR CD,51086,46835393
ATROVENT HFA,8599,46775090
DEXTROAMPHETAMINE-AMPHETAMINE,24550,46715856
BUSPIRONE HCL,70623,46687172
AZELASTINE HCL,23418,46407885
KETOCONAZOLE,38024,45643186
CARBAMAZEPINE ER,13497,45345015
APRISO,4551,45127794
BYDUREON,3878,44955909
THALOMID,345,44857935
CARTIA XT,48212,44727055
INSULIN SYRINGE,47786,44542842
NOVOLIN N,10921,44329413
BUPROPION HCL SR,61163,44030706
AMIODARONE HCL,53288,44007895
GATTEX,73,43866379
SUMATRIPTAN SUCCINATE,36985,43833381
IBANDRONATE SODIUM,23000,43671902
PHENYTOIN SODIUM EXTENDED,41388,43664455
ANORO ELLIPTA,4843,43631017
CHLORTHALIDONE,37929,43098381
BUDESONIDE,5857,42933027
TEMAZEPAM,70938,42893667
BUMETANIDE,33720,42883816
CARAFATE,8848,42539041
CLOTRIMAZOLE-BETAMETHASONE,35064,42248255
CIPROFLOXACIN HCL,161891,42172914
LEVOFLOXACIN,110165,41974657
DORZOLAMIDE-TIMOLOL,22007,41870687
VIIBRYD,8798,41352427
LABETALOL HCL,35984,41095270
NUVIGIL,3522,41022412
KOMBIGLYZE XR,5085,40712179
ENTACAPONE,5396,40011968
PROMACTA,442,39920013
CIALIS,6673,39543989
LEFLUNOMIDE,5794,39341085
GLIPIZIDE,108407,39332829
OXYMORPHONE HCL ER,3595,39260867
DEXTROAMPHETAMINE-AMPHET ER,11076,39256103
TAMIFLU,9601,39134330
FAMOTIDINE,86941,39072588
BANZEL,855,39001251
VANCOMYCIN HCL,7628,38989075
NOVOLIN R,10456,38901449
XOLAIR,663,38839466
POTASSIUM CITRATE ER,8525,38826784
OTEZLA,924,38705970
SELZENTRY,1101,38544368
IBUPROFEN,128293,38332302
ENTECAVIR,1710,38298850
ESTRADIOL,50289,38177837
AMOXICILLIN-CLAVULANATE POTASS,98183,38165835
NITROFURANTOIN MONO-MACRO,44647,38080615
LAMOTRIGINE,58640,37921052
TRIBENZOR,5661,37822796
VERAPAMIL ER,61525,37569156
XALKORI,213,37432400
NYSTATIN,50736,37415359
NEULASTA,275,37367804
PRAMIPEXOLE DIHYDROCHLORIDE,46681,37122908
VALACYCLOVIR,41835,37106815
BRINTELLIX,5016,37024233
AMANTADINE,12661,37013275
HALOPERIDOL,25819,36936492
DESONIDE,7910,36505942
SUPREP,6336,36225036
LIVALO,7479,36111226
INLYTA,181,35962979
HUMULIN R,10882,35921687
NEUPOGEN,626,35872521
PLEGRIDY PEN,304,35699775
ACETAMINOPHEN-CODEINE,81390,35402890
TOPIRAMATE,63301,35253580
OLYSIO,82,35152080
BESIVANCE,2496,35015878
PRIVIGEN,196,34397063
ASMANEX,7003,34368434
PROPRANOLOL HCL,62491,34158096
TACROLIMUS,4071,33912025
VASCEPA,3369,33790956
REMICADE,222,33750236
CARBIDOPA-LEVODOPA-ENTACAPONE,3751,33653244
OXCARBAZEPINE,25810,33590342
ZENPEP,2404,33458720
COREG CR,6220,33457188
ONDANSETRON HCL,50899,33002935
CLONIDINE HCL,103209,32826631
ACYCLOVIR,40784,32714171
NITROSTAT,50048,32373090
GLIPIZIDE ER,55140,32221349
TOPAMAX,1721,32087730
METHADONE HCL,27159,31888022
PROSOL,2049,31652061
CEFUROXIME,24569,31638059
BUPRENORPHINE-NALOXONE,3116,31608391
NADOLOL,15197,31234410
TOPROL XL,23764,30925459
NYSTATIN-TRIAMCINOLONE,10190,30924336
SUCRALFATE,33756,30662118
IRBESARTAN,38642,30619448
PREZCOBIX,688,30609889
JALYN,5653,30417610
ACTEMRA,545,30016469
ARANESP,1149,29866872
STRATTERA,4242,29753476
ISOSORBIDE DINITRATE,19722,29123260
MECLIZINE HCL,62256,29093565
AMLODIPINE-VALSARTAN,10350,28884896
FAZACLO,926,27798366
TOBRAMYCIN-DEXAMETHASONE,9285,27591845
FLECAINIDE ACETATE,15192,27493144
FLUCONAZOLE,67487,27356169
CARBIDOPA-LEVODOPA ER,13119,27308307
GILOTRIF,258,26989516
MIDODRINE HCL,15519,26935424
CELEBREX,4541,26923646
RENAGEL,1234,26893629
METOLAZONE,27346,26731915
METHYLPHENIDATE HCL,18094,26675291
JENTADUETO,2743,26648872
HUMULIN 70/30 KWIKPEN,2767,26580766
CEPHALEXIN,125408,25803060
PROPAFENONE HCL ER,2443,25768198
COUMADIN,12102,25749976
OLANZAPINE ODT,5290,25544781
VELPHORO,856,25519303
BENAZEPRIL HCL,76810,25241768
HIZENTRA,250,25227870
CALCITRIOL,21578,25216146
LEXIVA,935,25200475
DRONABINOL,3121,24938697
APOKYN,71,24930247
CALCIPOTRIENE,2670,24906382
NUCYNTA ER,2086,24866220
NORTHERA,180,24718512
TOUJEO SOLOSTAR,2020,24661338
SILDENAFIL,3019,24546141
SAVELLA,5340,24358683
TYSABRI,173,24314562
BERINERT,17,24296836
NEVANAC,2160,24206014
DILTIAZEM ER,29379,24133066
DELZICOL,2876,24013470
DIAZEPAM,92510,23796977
ERIVEDGE,146,23776136
ARALAST NP,172,23751655
BENZTROPINE MESYLATE,34079,23688634
BUTALBITAL-ACETAMINOPHEN-CAFFE,20011,23551592
FARXIGA,3086,23545877
REPAGLINIDE,8856,23493327
BETAMETHASONE DIPROPIONATE,11785,23481941
LAMICTAL XR,782,23328041
NAPROXEN,90818,23244397
VIAGRA,2134,23210470
HYDROMORPHONE HCL,25651,23150753
GALANTAMINE HBR,8910,23145629
AMOXICILLIN,157843,23134251
SIMBRINZA,5305,22980102
KETOROLAC TROMETHAMINE,10303,22913487
LAMOTRIGINE ER,2009,22850952
GEMFIBROZIL,51305,22714182
RISEDRONATE SODIUM,5224,22094450
CICLOPIROX,10601,21890325
VENLAFAXINE HCL,29062,21775104
VYVANSE,4235,21758607
NUCYNTA,2256,21676413
FONDAPARINUX SODIUM,731,21546958
CHANTIX,5169,21538926
MYCOPHENOLATE MOFETIL,7798,21476944
METHYLPHENIDATE ER,5340,21447370
VALCYTE,342,21414488
PREVACID,3290,21328259
PERPHENAZINE,8437,21280328
MUPIROCIN,46145,21273354
SULFAMETHOXAZOLE-TRIMETHOPRIM,118585,21250039
ROZEREM,4183,21163403
ALBUTEROL SULFATE,15686,21122655
CHOLESTYRAMINE,10706,20976774
ANASTROZOLE,18013,20811971
HYDROMORPHONE ER,1208,20806251
LACTULOSE,35306,20665253
PERCOCET,933,20571950
DAKLINZA,53,20571756
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14060,20549483
INVANZ,2012,20496384
ACETAZOLAMIDE,7050,20433023
CAPTOPRIL,10341,20262011
LAMIVUDINE-ZIDOVUDINE,1743,20044373
AVONEX ADMINISTRATION PACK,250,19945591
QUINAPRIL HCL,38609,19895809
METHENAMINE HIPPURATE,6806,19844173
CEFDINIR,20568,19705472
DOXEPIN HCL,26185,19643302
GAMMAKED,99,19608126
ABACAVIR,2001,19421355
GLIPIZIDE-METFORMIN,9214,19390649
FELODIPINE ER,19259,19378836
STIVARGA,132,19319123
TERAZOSIN HCL,59643,19244690
PARICALCITOL,2786,19240960
GLIPIZIDE XL,35578,19213642
OXYCODONE HCL ER,1632,19124091
ETODOLAC,11687,18975776
KALYDECO,51,18927259
SABRIL,65,18887371
NOXAFIL,177,18884675
TORSEMIDE,31800,18692755
ENABLEX,3743,18568393
RITUXAN,111,18469734
HUMULIN N KWIKPEN,1784,18287524
EPIPEN 2-PAK,1951,18125694
NATEGLINIDE,7375,18061306
ENDOCET,7746,17963626
IPRATROPIUM BROMIDE,23075,17958494
FENTORA,88,17953060
WELLBUTRIN XL,835,17859429
PILOCARPINE HCL,7015,17750269
DURAGESIC,855,17742752
BOSULIF,133,17558500
MEKINIST,99,17547280
AVASTIN,116,17191060
PIOGLITAZONE-METFORMIN,4606,17183120
NIFEDICAL XL,25255,17161526
LEVOCETIRIZINE DIHYDROCHLORIDE,22214,17018990
PREMPRO,6369,16987946
FLUOROMETHOLONE,5201,16941824
NITROFURANTOIN,17262,16930229
IPRATROPIUM-ALBUTEROL,16274,16911062
SOTALOL,26925,16901069
ESZOPICLONE,15158,16753649
TELMISARTAN,11176,16742050
OFLOXACIN,10842,16674456
TOLTERODINE TARTRATE,8097,16646747
CIPRODEX,3906,16581502
SEREVENT DISKUS,3282,16355209
ORKAMBI,47,16351595
MOVIPREP,3755,16348237
KEPPRA XR,877,16288920
ZYDELIG,138,16264156
PRIMIDONE,28242,16225382
HYDROXYZINE HCL,34272,16187052
NABUMETONE,22258,16108785
TAFINLAR,103,16083101
TEKTURNA,4933,16073578
ZOLPIDEM TARTRATE ER,11355,15919423
HUMALOG MIX 50-50 KWIKPEN,795,15769696
RYTARY,630,15710927
MORPHINE SULFATE,21607,15676339
JADENU,96,15674665
LUPRON DEPOT,368,15624325
LYNPARZA,169,15561418
LOVAZA,2808,15355842
TRULICITY,1158,15332718
KUVAN,52,15307577
PHENOBARBITAL,20698,15215812
CLOZARIL,640,15174676
ACITRETIN,944,15101068
VIMOVO,437,15009486
AMMONIUM LACTATE,14049,14947340
CLINDAMYCIN PHOSPHATE,8016,14935069
AZATHIOPRINE,11967,14859067
COLESTIPOL HCL,7259,14651612
CILOSTAZOL,25653,14627039
CYMBALTA,3130,14570254
DILANTIN,9384,14547893
ATOVAQUONE,636,14527910
DIPHENOXYLATE-ATROPINE,22836,14441919
FORADIL,2667,14409009
ACTIMMUNE,21,14237715
CARISOPRODOL,26413,14195770
DORZOLAMIDE HCL,12838,14122426
BARACLUDE,525,14064388
SAMSCA,143,14044484
APTIOM,606,13985766
ONDANSETRON ODT,28915,13981317
GRALISE,1518,13930209
RAVICTI,16,13918985
TEGRETOL XR,3985,13822976
FETZIMA,2443,13814875
HALOPERIDOL DECANOATE,5599,13805637
KLOR-CON M10,25974,13785906
KALBITOR,18,13776933
NORTRIPTYLINE HCL,41332,13645056
BUPROPION HCL,18747,13631378
HYDROCORTISONE,26440,13622336
ATELVIA,1991,13611735
DESOXIMETASONE,3905,13518661
LAMIVUDINE,2298,13415545
ICLUSIG,59,13371227
TROSPIUM CHLORIDE,5042,13335498
PENNSAID,316,13318306
EDURANT,676,13266247
DEPAKOTE ER,1754,13125292
ZYPREXA,1000,13083283
ERYTHROMYCIN,13172,13064349
BISOPROLOL FUMARATE,15376,13063262
OCTAGAM,57,13012075
NITROGLYCERIN PATCH,16678,12891652
BALSALAZIDE DISODIUM,3374,12750828
TAMOXIFEN CITRATE,10548,12714601
NYSTOP,14387,12573901
PROGRAF,761,12561961
CALCITONIN-SALMON,9104,12548270
SOMAVERT,81,12327391
FLECTOR,1345,12309326
PYRIDOSTIGMINE BROMIDE,5513,12279199
DYMISTA,2909,12231993
GLASSIA,75,12039601
ACTONEL,2584,11953954
APIDRA SOLOSTAR,1179,11904507
TELMISARTAN-HYDROCHLOROTHIAZID,5550,11774778
CANASA,854,11707990
PROMETHAZINE HCL,37660,11703813
DILTIAZEM HCL,27506,11696739
TRAMADOL HCL-ACETAMINOPHEN,17609,11621999
GATIFLOXACIN,1454,11612392
TESTOSTERONE CYPIONATE,10662,11595159
MEGESTROL ACETATE,15299,11498405
SOLIRIS,25,11491591
GLYBURIDE,23954,11481914
METAXALONE,2825,11479035
SEROQUEL,1243,11474012
AMLODIPINE-ATORVASTATIN,3114,11384991
REVATIO,181,11337520
CAYSTON,92,11308278
DESMOPRESSIN ACETATE,6120,11271388
BETHANECHOL CHLORIDE,6506,11207937
TROSPIUM CHLORIDE ER,2530,11191299
LIPITOR,2435,11114170
ASPIRIN-DIPYRIDAMOLE ER,2162,11081192
HYDROCORTISONE VALERATE,3023,11049185
EPLERENONE,4386,11007706
OXYMORPHONE HCL,1796,10983168
DICYCLOMINE HCL,43554,10927088
METHAZOLAMIDE,1314,10895528
JARDIANCE,1290,10879851
LUMIZYME,15,10829915
CLOZAPINE ODT,849,10741107
THEOPHYLLINE ANHYDROUS,15517,10718512
TRANSDERM-SCOP,3932,10711552
EXFORGE,2523,10699394
TRILEPTAL,802,10624322
DEPAKOTE,1363,10612930
CEVIMELINE HCL,2178,10598305
ROPINIROLE ER,2061,10585286
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,462,10562410
FELBAMATE,865,10542268
BOTOX,352,10526587
LIOTHYRONINE SODIUM,10321,10457373
CLOTRIMAZOLE,11931,10373884
LETROZOLE,9870,10242418
ATENOLOL-CHLORTHALIDONE,19951,10155562
NEVIRAPINE ER,721,10111341
ATIVAN,370,10054130
CEFTRIAXONE,6477,10030987
PROVENTIL HFA,6716,9986383
EXTAVIA,162,9958265
HUMALOG MIX 50-50,639,9949565
METHOCARBAMOL,22699,9848024
GLUCAGON EMERGENCY KIT,1723,9836049
PROGESTERONE,5461,9813926
PRAZOSIN HCL,13304,9763033
ZONEGRAN,398,9752810
FABRAZYME,27,9724536
VORICONAZOLE,439,9616504
MESTINON,508,9590515
TYKERB,143,9535464
HERCEPTIN,89,9530365
RELPAX,1385,9508843
SIROLIMUS,587,9502324
HALOBETASOL PROPIONATE,2311,9475403
EFFEXOR XR,1586,9472953
BUPRENORPHINE HCL,2379,9444746
CHENODAL,13,9441616
DICLOFENAC POTASSIUM,7106,9424511
PROTONIX,2062,9409875
PROCTOZONE-HC,6141,9372225
GAMMAPLEX,54,9306196
HETLIOZ,76,9261254
PULMICORT FLEXHALER,2306,9259382
TRAMADOL HCL ER,4046,9258358
OMEPRAZOLE-SODIUM BICARBONATE,993,9207380
FLUOCINOLONE ACETONIDE,2914,9184081
AMLODIPINE-VALSARTAN-HCTZ,2781,9166547
CUPRIMINE,62,9144743
DILT-XR,12418,9099652
FLOVENT DISKUS,2509,9097862
EMTRIVA,965,8969928
VELCADE,78,8951193
HYDROXYUREA,9381,8936958
PROPAFENONE HCL,8392,8933036
XOPENEX HFA,6637,8855238
DOXYCYCLINE MONOHYDRATE,14711,8833957
EDECRIN,547,8809531
CARBIDOPA,464,8769832
MYCOPHENOLIC ACID,640,8730933
RABEPRAZOLE SODIUM,6971,8703756
SPIRONOLACTONE-HCTZ,7260,8668599
ALCOHOL PREP PADS,8813,8656163
LENVIMA,33,8634825
CANDESARTAN CILEXETIL,4618,8595064
DIGITEK,10265,8559330
JANTOVEN,22737,8372221
PLAVIX,2453,8342366
KLOR-CON 10,15756,8330661
CLINDAMYCIN HCL,46585,8327690
ALFUZOSIN HCL ER,11264,8305455
METOCLOPRAMIDE HCL,37234,8263832
EXALGO,344,8214297
BICALUTAMIDE,8624,8188567
DUEXIS,200,8172530
TOBRADEX,1736,8136192
FLUPHENAZINE DECANOATE,2164,8103902
GLUCAGEN,1413,8089410
INVOKAMET,960,7992052
RISPERIDONE ODT,2339,7869019
LOVENOX,693,7861688
ZONISAMIDE,8449,7840368
TRETINOIN,2603,7817926
CEREZYME,22,7801003
MINOCYCLINE HCL,12212,7760603
ZIOPTAN,1863,7715189
TROKENDI XR,501,7700459
NISOLDIPINE,2056,7678539
TESTOSTERONE,1212,7668880
NORDITROPIN FLEXPRO,202,7622417
SILENOR,1242,7584295
CELLCEPT,341,7557015
NEOMYCIN-POLYMYXIN-DEXAMETH,11041,7540586
ESTRING,1267,7534718
XGEVA,196,7531298
ACIPHEX,953,7373909
RELISTOR,389,7330010
K-TAB ER,4704,7228028
EGRIFTA,102,7223719
ACARBOSE,4999,7181818
PHENYTOIN,8600,7121852
FELBATOL,222,7110911
PROVIGIL,268,7109830
MYSOLINE,184,7106785
IMIQUIMOD,2307,7098814
SULFASALAZINE,8957,7093684
DEXTROAMPHETAMINE SULFATE ER,1661,7076397
BEXAROTENE,17,7072228
IRBESARTAN-HYDROCHLOROTHIAZIDE,9094,7068682
NAGLAZYME,7,7056828
CLARITHROMYCIN,6715,7021397
BIDIL,1463,7017668
TANZEUM,882,6945343
LEXAPRO,1873,6934144
TEGRETOL,1897,6833787
BOOSTRIX TDAP,2220,6814931
NOVOFINE 32,6192,6812430
PERMETHRIN,3078,6809042
VALPROIC ACID,10639,6796856
GEODON,638,6796550
VIRACEPT,442,6792112
LEUKINE,31,6779668
TRELSTAR,92,6737760
SYPRINE,20,6700754
GENTAMICIN SULFATE,7858,6648086
NOVOFINE AUTOCOVER,3723,6613782
FLUVOXAMINE MALEATE,9611,6582742
VPRIV,12,6579193
PROCYSBI,8,6570001
